Iteration,Algorithm,Core Type,IPC,Memory Usage (MB),Cache Hit Rate,Action,Reward,Next IPC,Next Memory Usage (MB),Next Cache Hit Rate
1,FFT,In-Order,1.22,326.6,0.85,0,0.61,1.2,328.2,0.85
2,FFT,In-Order,1.25,326.2,0.85,0,0.63,1.26,323.8,0.84
3,FFT,In-Order,1.21,322.8,0.83,0,0.61,1.23,315.2,0.83
4,FFT,In-Order,1.16,322.3,0.86,0,0.58,1.16,322.6,0.86
5,FFT,In-Order,1.17,324.7,0.85,0,0.59,1.16,329.4,0.85
6,FFT,In-Order,1.17,322.9,0.85,0,0.58,1.14,327.0,0.84
7,FFT,In-Order,1.21,324.0,0.83,0,0.61,1.22,328.4,0.83
8,FFT,In-Order,1.12,321.6,0.85,0,0.56,1.15,323.3,0.84
9,FFT,In-Order,1.22,320.4,0.85,0,0.61,1.23,324.8,0.85
10,FFT,In-Order,1.24,320.4,0.84,0,0.62,1.23,322.0,0.85
1,FFT,In-Order,1.18,321.9,0.85,0,0.59,1.21,317.4,0.85
2,FFT,In-Order,1.21,323.2,0.85,0,0.61,1.2,325.0,0.86
3,FFT,In-Order,1.2,323.7,0.87,0,0.6,1.19,323.4,0.86
4,FFT,In-Order,1.25,323.6,0.85,0,0.63,1.26,330.9,0.85
5,FFT,In-Order,1.16,333.3,0.84,0,0.58,1.17,339.1,0.85
6,FFT,In-Order,1.22,321.0,0.85,0,0.61,1.24,317.5,0.85
7,FFT,In-Order,1.18,328.5,0.84,0,0.59,1.11,330.2,0.83
8,FFT,In-Order,1.19,322.1,0.85,0,0.59,1.2,331.5,0.85
9,FFT,In-Order,1.21,336.4,0.85,0,0.61,1.21,328.0,0.84
10,FFT,In-Order,1.15,320.2,0.85,0,0.58,1.21,319.2,0.85
1,FFT,In-Order,1.2,341.2,0.84,0,0.6,1.22,335.5,0.83
2,FFT,In-Order,1.24,326.5,0.86,0,0.62,1.2,329.4,0.87
3,FFT,In-Order,1.15,320.2,0.84,0,0.58,1.19,324.6,0.84
4,FFT,In-Order,1.18,321.3,0.84,0,0.59,1.19,316.7,0.85
5,FFT,In-Order,1.16,332.9,0.85,0,0.58,1.15,335.7,0.85
6,FFT,In-Order,1.23,324.1,0.83,0,0.61,1.23,325.4,0.84
7,FFT,In-Order,1.14,326.5,0.84,0,0.57,1.15,332.6,0.84
8,FFT,In-Order,1.24,320.0,0.85,0,0.62,1.22,329.4,0.86
9,FFT,In-Order,1.14,326.2,0.86,0,0.57,1.12,320.6,0.86
10,FFT,In-Order,1.26,329.5,0.86,0,0.63,1.31,328.2,0.85
1,FFT,In-Order,1.16,338.1,0.84,0,0.58,1.18,336.9,0.85
2,FFT,In-Order,1.23,323.5,0.85,0,0.61,1.29,326.6,0.84
3,FFT,In-Order,1.15,334.1,0.85,0,0.57,1.14,337.8,0.85
4,FFT,In-Order,1.24,322.4,0.85,0,0.62,1.26,323.5,0.84
5,FFT,In-Order,1.21,324.2,0.85,0,0.6,1.21,320.2,0.86
6,FFT,In-Order,1.2,326.8,0.86,0,0.6,1.23,319.9,0.86
7,FFT,In-Order,1.23,330.1,0.86,0,0.61,1.23,334.4,0.86
8,FFT,In-Order,1.2,325.2,0.86,0,0.6,1.22,323.7,0.86
9,FFT,In-Order,1.16,324.3,0.85,0,0.58,1.16,321.6,0.84
10,FFT,In-Order,1.22,324.5,0.85,0,0.61,1.25,324.8,0.84
1,FFT,In-Order,1.16,324.9,0.86,0,0.58,1.22,334.1,0.86
2,FFT,In-Order,1.24,338.6,0.83,0,0.62,1.25,335.3,0.83
3,FFT,In-Order,1.16,320.1,0.85,0,0.58,1.14,328.4,0.85
4,FFT,In-Order,1.18,321.4,0.87,0,0.59,1.19,315.1,0.87
5,FFT,In-Order,1.31,322.7,0.86,0,0.65,1.29,316.3,0.86
6,FFT,In-Order,1.29,320.5,0.82,0,0.65,1.27,319.3,0.81
7,FFT,In-Order,1.28,325.0,0.84,0,0.64,1.28,322.7,0.84
8,FFT,In-Order,1.32,329.7,0.84,0,0.66,1.33,330.7,0.84
9,FFT,In-Order,1.2,334.1,0.85,0,0.6,1.16,340.5,0.84
10,FFT,In-Order,1.31,323.9,0.85,0,0.65,1.32,325.3,0.85
1,FFT,In-Order,1.19,329.3,0.85,0,0.59,1.17,327.5,0.85
2,FFT,In-Order,1.27,330.5,0.86,0,0.64,1.29,326.4,0.86
3,FFT,In-Order,1.24,343.3,0.86,0,0.62,1.19,337.2,0.85
4,FFT,In-Order,1.26,333.4,0.85,0,0.63,1.29,337.5,0.85
5,FFT,In-Order,1.27,321.9,0.85,0,0.63,1.26,326.2,0.85
6,FFT,In-Order,1.17,335.0,0.85,0,0.58,1.18,330.9,0.86
7,FFT,In-Order,1.15,325.6,0.84,0,0.57,1.17,328.9,0.83
8,FFT,In-Order,1.2,324.0,0.86,0,0.6,1.2,319.9,0.86
9,FFT,In-Order,1.22,324.8,0.84,0,0.61,1.21,325.8,0.85
10,FFT,In-Order,1.24,320.4,0.84,0,0.62,1.21,316.8,0.83
1,FFT,In-Order,1.22,322.8,0.86,0,0.61,1.21,322.7,0.86
2,FFT,In-Order,1.2,320.6,0.85,0,0.6,1.18,323.2,0.86
3,FFT,In-Order,1.19,321.7,0.85,0,0.6,1.19,324.0,0.85
4,FFT,In-Order,1.25,344.8,0.85,0,0.62,1.23,344.9,0.85
5,FFT,In-Order,1.27,323.0,0.86,0,0.64,1.3,332.1,0.86
6,FFT,In-Order,1.25,324.8,0.84,0,0.62,1.23,314.2,0.84
7,FFT,In-Order,1.16,338.3,0.85,0,0.58,1.11,340.1,0.85
8,FFT,In-Order,1.25,320.9,0.84,0,0.62,1.29,326.8,0.83
9,FFT,In-Order,1.11,337.5,0.86,0,0.56,1.12,338.9,0.85
10,FFT,In-Order,1.15,321.6,0.85,0,0.58,1.16,319.3,0.85
1,FFT,In-Order,1.15,335.4,0.85,0,0.57,1.11,338.1,0.85
2,FFT,In-Order,1.28,322.2,0.85,0,0.64,1.26,330.0,0.85
3,FFT,In-Order,1.26,324.0,0.85,0,0.63,1.28,324.8,0.85
4,FFT,In-Order,1.19,320.1,0.86,0,0.59,1.22,315.3,0.86
5,FFT,In-Order,1.25,322.5,0.83,0,0.63,1.28,321.8,0.83
6,FFT,In-Order,1.09,327.7,0.87,0,0.55,1.06,319.1,0.87
7,FFT,In-Order,1.22,323.4,0.85,0,0.61,1.25,316.2,0.85
8,FFT,In-Order,1.2,320.7,0.85,0,0.6,1.17,318.1,0.85
9,FFT,In-Order,1.2,325.5,0.86,0,0.6,1.19,323.1,0.86
10,FFT,In-Order,1.17,320.5,0.85,0,0.59,1.15,317.7,0.84
1,FFT,In-Order,1.3,320.2,0.85,0,0.65,1.31,326.2,0.85
2,FFT,In-Order,1.17,326.9,0.84,0,0.58,1.15,325.5,0.83
3,FFT,In-Order,1.12,323.1,0.86,0,0.56,1.15,318.2,0.86
4,FFT,In-Order,1.25,323.8,0.85,0,0.62,1.22,315.8,0.85
5,FFT,In-Order,1.16,320.1,0.84,0,0.58,1.14,316.8,0.83
6,FFT,In-Order,1.18,331.1,0.87,0,0.59,1.2,331.0,0.87
7,FFT,In-Order,1.2,324.4,0.84,0,0.6,1.19,332.3,0.84
8,FFT,In-Order,1.17,322.3,0.86,0,0.58,1.21,315.3,0.86
9,FFT,In-Order,1.17,321.0,0.85,0,0.58,1.15,318.3,0.83
10,FFT,In-Order,1.23,340.2,0.85,0,0.62,1.21,337.3,0.85
1,FFT,In-Order,1.23,333.3,0.84,0,0.61,1.28,341.3,0.84
2,FFT,In-Order,1.16,321.0,0.84,0,0.58,1.12,312.9,0.84
3,FFT,In-Order,1.21,321.7,0.84,0,0.61,1.18,323.0,0.85
4,FFT,In-Order,1.12,320.3,0.84,0,0.56,1.11,325.3,0.84
5,FFT,In-Order,1.24,327.1,0.84,0,0.62,1.22,339.3,0.83
6,FFT,In-Order,1.15,333.3,0.85,0,0.57,1.13,333.7,0.85
7,FFT,In-Order,1.26,320.8,0.85,0,0.63,1.24,323.7,0.85
8,FFT,In-Order,1.18,328.4,0.85,0,0.59,1.24,332.8,0.85
9,FFT,In-Order,1.26,322.9,0.85,0,0.63,1.24,311.7,0.85
10,FFT,In-Order,1.16,323.5,0.85,0,0.58,1.15,327.6,0.84
1,FFT,In-Order,1.21,320.6,0.86,0,0.61,1.22,323.5,0.85
2,FFT,In-Order,1.18,327.9,0.86,0,0.59,1.24,328.8,0.86
3,FFT,In-Order,1.18,321.4,0.84,0,0.59,1.21,323.4,0.84
4,FFT,In-Order,1.24,328.6,0.85,0,0.62,1.22,326.4,0.85
5,FFT,In-Order,1.24,326.4,0.84,0,0.62,1.27,331.4,0.83
6,FFT,In-Order,1.21,322.1,0.83,0,0.61,1.25,325.4,0.83
7,FFT,In-Order,1.21,323.5,0.84,0,0.61,1.21,323.8,0.85
8,FFT,In-Order,1.23,332.8,0.84,0,0.61,1.24,342.2,0.85
9,FFT,In-Order,1.28,333.6,0.84,0,0.64,1.28,337.5,0.86
10,FFT,In-Order,1.23,322.5,0.85,0,0.61,1.22,317.5,0.84
