Iteration,Algorithm,Core Type,IPC,Memory Usage (MB),Cache Hit Rate,Action,Reward,Next IPC,Next Memory Usage (MB),Next Cache Hit Rate
1,LU,In-Order,1.08,364.9,0.78,0,0.54,1.06,361.8,0.77
2,LU,In-Order,0.94,346.0,0.81,0,0.47,0.95,333.8,0.81
3,LU,In-Order,1.04,351.3,0.84,0,0.52,1.07,340.5,0.85
4,LU,In-Order,1.09,341.8,0.83,0,0.55,1.09,342.7,0.84
5,LU,In-Order,1.0,360.5,0.83,0,0.5,1.03,363.0,0.83
6,LU,In-Order,0.92,353.7,0.83,0,0.46,0.85,352.8,0.83
7,LU,In-Order,0.96,352.2,0.81,0,0.48,0.97,361.8,0.81
8,LU,In-Order,0.88,361.4,0.8,0,0.44,0.88,349.2,0.8
9,LU,In-Order,1.1,343.3,0.82,0,0.55,1.13,333.8,0.83
10,LU,In-Order,0.96,364.1,0.79,0,0.48,0.96,370.5,0.77
1,LU,In-Order,1.03,337.0,0.78,0,0.51,1.02,326.4,0.79
2,LU,In-Order,0.98,335.4,0.78,0,0.49,1.01,342.8,0.8
3,LU,In-Order,0.97,358.1,0.79,0,0.49,1.03,338.2,0.79
4,LU,In-Order,1.03,348.1,0.77,0,0.51,1.02,346.9,0.77
5,LU,In-Order,0.92,338.3,0.83,0,0.46,0.88,319.6,0.84
6,LU,In-Order,0.92,339.6,0.84,0,0.46,0.93,347.1,0.85
7,LU,In-Order,0.89,358.0,0.82,0,0.44,0.95,351.0,0.82
8,LU,In-Order,1.03,351.6,0.82,0,0.51,1.03,355.1,0.83
9,LU,In-Order,0.93,362.1,0.82,0,0.47,0.93,357.3,0.82
10,LU,In-Order,0.93,348.5,0.81,0,0.46,0.94,348.6,0.81
1,LU,In-Order,0.96,335.7,0.8,0,0.48,1.01,340.2,0.8
2,LU,In-Order,0.97,338.0,0.78,0,0.48,0.92,327.2,0.76
3,LU,In-Order,1.03,355.4,0.78,0,0.52,1.04,362.6,0.77
4,LU,In-Order,1.05,359.4,0.76,0,0.53,1.07,367.9,0.76
5,LU,In-Order,0.97,357.9,0.79,0,0.48,0.98,356.2,0.78
6,LU,In-Order,0.98,337.9,0.81,0,0.49,0.95,352.1,0.8
7,LU,In-Order,0.95,343.6,0.83,0,0.48,0.97,351.9,0.83
8,LU,In-Order,0.96,343.6,0.79,0,0.48,0.98,337.2,0.79
9,LU,In-Order,1.0,335.9,0.8,0,0.5,1.06,334.8,0.81
10,LU,In-Order,0.99,351.5,0.83,0,0.5,1.01,360.7,0.83
1,LU,In-Order,1.0,341.2,0.8,0,0.5,0.98,330.3,0.8
2,LU,In-Order,0.9,355.9,0.8,0,0.45,0.93,334.3,0.8
3,LU,In-Order,1.02,342.4,0.8,0,0.51,1.03,336.1,0.82
4,LU,In-Order,1.09,362.7,0.8,0,0.55,1.09,354.3,0.81
5,LU,In-Order,0.95,336.4,0.76,0,0.48,0.92,333.3,0.76
6,LU,In-Order,0.94,341.8,0.79,0,0.47,0.89,344.2,0.79
7,LU,In-Order,0.99,361.8,0.79,0,0.49,0.98,351.2,0.79
8,LU,In-Order,0.98,345.6,0.79,0,0.49,0.95,342.1,0.8
9,LU,In-Order,1.1,354.7,0.79,0,0.55,1.08,352.6,0.79
10,LU,In-Order,0.97,339.5,0.8,0,0.49,0.98,337.0,0.79
1,LU,In-Order,1.04,347.3,0.79,0,0.52,1.04,345.8,0.8
2,LU,In-Order,0.96,335.2,0.78,0,0.48,1.03,339.0,0.77
3,LU,In-Order,0.99,343.3,0.79,0,0.49,0.99,342.6,0.79
4,LU,In-Order,1.04,338.4,0.8,0,0.52,1.03,340.7,0.81
5,LU,In-Order,0.97,346.1,0.83,0,0.48,0.96,346.7,0.83
6,LU,In-Order,0.98,352.3,0.82,0,0.49,0.96,356.6,0.82
7,LU,In-Order,1.11,356.9,0.8,0,0.56,1.07,356.7,0.79
8,LU,In-Order,0.94,344.5,0.8,0,0.47,0.94,354.6,0.79
9,LU,In-Order,0.96,349.0,0.79,0,0.48,0.96,361.2,0.81
10,LU,In-Order,1.03,348.7,0.79,0,0.51,1.05,342.4,0.77
1,LU,In-Order,1.03,354.5,0.8,0,0.51,0.94,357.8,0.8
2,LU,In-Order,1.0,354.4,0.79,0,0.5,1.02,356.1,0.78
3,LU,In-Order,1.05,340.6,0.8,0,0.53,1.04,334.6,0.8
4,LU,In-Order,1.01,338.3,0.8,0,0.5,0.99,328.2,0.8
5,LU,In-Order,0.99,351.8,0.8,0,0.49,0.98,348.7,0.81
